Drug_A,Drug_B,Level
Piroxicam,Iopromide,Major
Chlorpheniramine,Desirudin,No Interaction
Nicardipine,Tyropanoic acid,Moderate
Promethazine,Leflunomide,Unknown
Promethazine,Levamlodipine,Moderate
Samarium (153Sm) lexidronam,Idelalisib,Major
Liraglutide,Metyrosine,No Interaction
Torasemide,Iopromide,Moderate
Fluoxetine,Cobicistat,Moderate
Prednisolone,Glipizide,Moderate
Esmolol,Promethazine,Moderate
Doxacurium,Triamcinolone (ophthalmic),No Interaction
Prednisolone,Cefuroxime,Unknown
Amikacin (liposome),Deferasirox,Major
Clofarabine,Iobenguane (I-131),Moderate
Aliskiren,Formoterol,No Interaction
Isoxsuprine,Neomycin,No Interaction
Atovaquone,Iodide I-131,Moderate
Botulinum Toxin Type B,Cisapride,No Interaction
Samarium (153Sm) lexidronam,Trastuzumab deruxtecan,Major
Flurazepam,Ethanol,Moderate
Alpelisib,Orciprenaline,No Interaction
Iopamidol,Cefiderocol,Major
Pregabalin,Propiomazine,No Interaction
Leucovorin,Didanosine,Unknown
Cobicistat,Pexidartinib,Moderate
Clindamycin,Olopatadine (nasal),No Interaction
Neratinib,Pitavastatin,No Interaction
Promethazine,Osimertinib,Major
Mefenamic acid,Iohexol,Major
Flecainide,Zinc acetate,No Interaction
Cobicistat,Selumetinib,Major
Atorvastatin,Ibritumomab tiuxetan,No Interaction
Physostigmine,Neostigmine,Moderate
Amyl Nitrite,Benzylpenicillin,No Interaction
Chromic chloride,Ketamine,No Interaction
Iobenguane (I-123),Nilotinib,No Interaction
Folic acid,Rifampicin,Unknown
Tositumomab (I-131),Bifidobacterium longum infantis,Moderate
Sevelamer,Acyclovir,Unknown
Dimethyl fumarate,Metformin,No Interaction
Cyclobenzaprine,Promethazine,Moderate
Ethiodized oil,Thiabendazole,No Interaction
Lofexidine,Varicella Zoster Vaccine (Recombinant),No Interaction
Reserpine,Prednisolone,Moderate
Folic acid,Fluoxetine,Unknown
Ticarcillin,Iodide I-131,Moderate
Aldesleukin,Chlorambucil,No Interaction
Cariprazine,Isoprenaline,No Interaction
Dexamethasone,Iopromide,Unknown
Azithromycin,Pilocarpine,No Interaction
Cisplatin,Deferasirox,Major
Aminoglutethimide,Oxymetazoline (nasal),No Interaction
Nortriptyline,Physostigmine (ophthalmic),Moderate
Irinotecan (liposomal),Praziquantel,No Interaction
Didanosine,Triamcinolone,No Interaction
Clonidine,Nitisinone,No Interaction
Brompheniramine,Romidepsin,No Interaction
Chromic chloride,Macitentan,No Interaction
Brigatinib,Salicylic acid (sodium),No Interaction
Bicalutamide,Oxybuprocaine (ophthalmic),No Interaction
Propranolol,Gadofosveset trisodium,Moderate
Lapatinib,Cobicistat,Major
Insulin aspart (aspart),Vecuronium,No Interaction
Calcium acetate,Nadolol,Moderate
Paclitaxel (protein-bound),Sunitinib,No Interaction
Palifermin,Azacitidine,Moderate
Digoxin Immune Fab (Ovine),Oxaprozin,No Interaction
Folic acid,Telithromycin,Unknown
Isradipine,Deferasirox,Moderate
Iobenguane (I-131),Levonordefrin,No Interaction
Cefamandole,Ethchlorvynol,No Interaction
Pegvisomant,Trihexyphenidyl,No Interaction
Atropine,Iron Dextran,No Interaction
Cobicistat,Fluticasone (nasal),Major
Diatrizoate,Edetate calcium disodium anhydrous,Major
Acetylcysteine,Bevacizumab,No Interaction
Pregabalin,Sevelamer,Unknown
Fluocinonide (topical),Trospium,No Interaction
Promethazine,Canagliflozin,Moderate
Doxazosin,Tolbutamide,Unknown
Diazoxide,Nefazodone,Moderate
Deferoxamine,Salbutamol,Unknown
Minocycline,Moxifloxacin,No Interaction
Sevelamer,Repaglinide,Unknown
Palifermin,Doxorubicin (liposomal),Moderate
Activated charcoal,Deutetrabenazine,No Interaction
Fluticasone,Sarilumab,No Interaction
Acenocoumarol,Ibutilide,No Interaction
Pemoline,Trimethoprim,No Interaction
Granisetron,Urea,No Interaction
Sulfinpyrazone,Valdecoxib,No Interaction
Efavirenz,Prednisolone,Moderate
Levobunolol (ophthalmic),Iopanoic acid,Moderate
Darifenacin,Deferasirox,Moderate
Dexfenfluramine,Dicyclomine,No Interaction
Baloxavir marboxil,Burosumab,No Interaction
Guanabenz,Urea,No Interaction
Folic acid,Bisoprolol,Unknown
Folic acid,Doxepin,Unknown
Palifermin,Pseudoephedrine,No Interaction
Clonidine,Amifostine,Moderate
Streptomycin,Iodipamide,Major
Atropine (ophthalmic),Ipilimumab,No Interaction
Kaolin,Lixisenatide,No Interaction
Enoxaparin,Lusutrombopag,No Interaction
Bisacodyl,Cloxacillin,No Interaction
Diatrizoate,Bendroflumethiazide,Moderate
Famotidine,Iodixanol,Unknown
Chloroquine,Fexofenadine,No Interaction
Clonazepam,Indium In-111 oxyquinoline,No Interaction
Polythiazide,Ioversol,Moderate
Fosaprepitant,Tripelennamine,No Interaction
Clorazepic acid,Estramustine,No Interaction
Caffeine,Givosiran,Moderate
Afatinib,Tripelennamine,No Interaction
Dienogest,Propiomazine,No Interaction
Kaolin,Plazomicin,No Interaction
Balsalazide,Tolbutamide,Moderate
Medroxyprogesterone acetate,Siponimod,No Interaction
Folic acid,Hydrochlorothiazide,Unknown
Carvedilol,Iobenguane (I-131),Major
Haloperidol,Ethanol,Moderate
Nalbuphine,Iohexol,Major
Bisacodyl,Cyanocobalamin,No Interaction
Dapsone,Meropenem,No Interaction
Naltrexone,Secretin human,No Interaction
Econazole,Glyburide,No Interaction
Ibandronate,Tetraferric tricitrate decahydrate,Moderate
Ethanol,Pitavastatin,Moderate
Acalabrutinib,Nifedipine,No Interaction
Methylprednisolone,Pegfilgrastim,No Interaction
Clofibrate,Zoledronic acid,No Interaction
Pindolol,Tyropanoic acid,Moderate
Gemtuzumab ozogamicin,Strontium chloride Sr-89,Moderate
Cefiderocol,Diflunisal,No Interaction
Benzthiazide,Prednisolone,Moderate
Amphotericin B,Apremilast,No Interaction
Estramustine,Neostigmine,No Interaction
Cariprazine,Pembrolizumab,No Interaction
Hydroxyzine,Prednisolone,Unknown
Prednisolone,Fosamprenavir,Moderate
Amobarbital,Methysergide,No Interaction
Amoxicillin,Rasburicase,No Interaction
Aflibercept,Doxepin,No Interaction
Ginkgo biloba,Isoflurophate (ophthalmic),No Interaction
Cefamandole,Doxorubicin (liposomal),No Interaction
Paroxetine,Tiludronic acid,No Interaction
Acetazolamide,Doravirine,No Interaction
Brexpiprazole,Silver nitrate (topical),No Interaction
Glasdegib,Raltegravir,No Interaction
Loxapine,Upadacitinib,No Interaction
Altretamine,Mecasermin rinfabate,No Interaction
Gadodiamide,Sorafenib,No Interaction
Liotrix,Iron sucrose,Moderate
Isradipine,Iodipamide,Moderate
Insulin lispro (protamine),Phentolamine,Minor
Ethanol,Ibuprofen,Moderate
Metamfetamine,Iobenguane (I-123),Moderate
Samarium (153Sm) lexidronam,Copanlisib,Major
Didanosine,Promethazine,Unknown
Valaciclovir,Iodixanol,Major
Paclitaxel,Cobicistat,Moderate
Tositumomab,Tirofiban,Major
Tositumomab (I-131),Roflumilast,Moderate
Modafinil,Stavudine,No Interaction
Amiodarone,Cobicistat,Major
Nisoldipine,Magnesium sulfate,Moderate
Leucovorin,Diazepam,Unknown
Cefadroxil,Troleandomycin,No Interaction
Budesonide,Pioglitazone,No Interaction
Prednisolone,Digitoxin,Moderate
Nateglinide,Zinc chloride,No Interaction
Daratumumab,Ginkgo biloba,No Interaction
Ipratropium (nasal),Lactic acid,No Interaction
Venlafaxine,Prednisolone,Unknown
Altretamine,Drotrecogin alfa,No Interaction
Tetracycline,Lanthanum carbonate,Moderate
Astemizole,Promethazine,Moderate
Tofacitinib,Trihexyphenidyl,No Interaction
Esomeprazole,Irinotecan,No Interaction
Ethanol,Rasagiline,Moderate
Mefenamic acid,Sodium oxybate,No Interaction
Phentolamine,Sumatriptan,No Interaction
Ethanol,Dimenhydrinate,Moderate
Prochlorperazine,Rimantadine,No Interaction
Botulinum toxin type A,Promethazine,Moderate
Triprolidine,Iodide I-123,Moderate
Ondansetron,Promethazine,Moderate
Physostigmine,Iohexol,Major
Calcipotriol,Eprosartan,No Interaction
Clofarabine,Deferasirox,Moderate
Fenoldopam,Isotretinoin,No Interaction
Nalmefene,Saquinavir,No Interaction
Deferasirox,Lorlatinib,Moderate
Mannitol,Formoterol,Moderate
Tositumomab (I-131),Clomipramine,Moderate
Anagrelide,Gadofosveset trisodium,No Interaction
Dactinomycin,Samarium (153Sm) lexidronam,Major
Amyl Nitrite,Iloperidone,Moderate
Amoxicillin,Hydroxyurea,No Interaction
Acetazolamide,Selegiline,No Interaction
Brompheniramine,Grepafloxacin,No Interaction
Folic acid,Labetalol,Unknown
Droxidopa,Fostamatinib,No Interaction
Hydrochlorothiazide,Promethazine,Moderate
Phentolamine,Molindone,Moderate
Celecoxib,Ioxilan,Major
Paroxetine,Deferasirox,Moderate
Cyclizine,Remimazolam,No Interaction
Toremifene,Triamcinolone (topical),No Interaction
Palifermin,Nelarabine,Moderate
Caplacizumab,Pralatrexate,No Interaction
Ethanol,Diroximel fumarate,Moderate
Isosorbide,Methylphenobarbital,No Interaction
Samarium (153Sm) lexidronam,Ixazomib,Major
Zoledronic acid,Iopamidol,Major
Topiramate,Triamcinolone,No Interaction
Binimetinib,Hydrocortisone (topical),No Interaction
Cyanocobalamin,Goserelin,No Interaction
Trazodone,Methylene blue,Major
Ipratropium (nasal),Mannitol,No Interaction
Nadolol,Methacholine,Major
Ivermectin,Deferasirox,Moderate
Etacrynic acid,Iodipamide,Moderate
Mephentermine,Peginterferon alfa-2b,No Interaction
Levobetaxolol (ophthalmic),Tafasitamab,No Interaction
Anagrelide,Zinc sulfate,No Interaction
Nisoldipine,Prednisolone,Moderate
Acebutolol,Iohexol,Moderate
Afatinib,Apixaban,No Interaction
Budesonide (nasal),Lorazepam,No Interaction
Promethazine,Docetaxel,Unknown
Fluticasone (topical),Streptokinase,No Interaction
Adalimumab,Penicillamine,No Interaction
Gallium nitrate,Inulin,No Interaction
Indium In-111 pentetate,Mitoxantrone,No Interaction
Carboplatin,Panobinostat,No Interaction
Moxifloxacin,Sevelamer,Moderate
Dinutuximab,Procarbazine,No Interaction
Palifermin,Ibritumomab tiuxetan,Moderate
Mipomersen,Naloxone,No Interaction
Methyl aminolevulinate (topical),Nelarabine,No Interaction
Lumacaftor,Revefenacin,No Interaction
Duloxetine,Fluorouracil,No Interaction
Amifostine,Epoprostenol,Moderate
Procarbazine,Sacubitril,No Interaction
Losartan,Tinzaparin,No Interaction
Vancomycin,Iodipamide,Major
"Interferon alfa-2a, Recombinant",Lomefloxacin,No Interaction
Mannitol,Sertraline,Moderate
Vardenafil,Promethazine,Moderate
Hydroxychloroquine,Tolmetin,No Interaction
Tolbutamide,Everolimus,Moderate
Theophylline,Acetylcysteine,Unknown
Chloral hydrate,Darunavir,No Interaction
Rabeprazole,Ioversol,Unknown
Tositumomab (I-131),Diclofenac (ophthalmic),Moderate
Pentamidine,Iopromide,Major
Arbutamine,Coccidioides immitis spherule,No Interaction
Rosiglitazone,Diazoxide,Moderate
Diphenoxylate,Nicardipine,No Interaction
Ioxilan,Edetate disodium anhydrous,Major
Insulin human (regular),Fludeoxyglucose (18F),Moderate
Physostigmine (ophthalmic),Lasmiditan,Moderate
Prednisolone,Licorice,Moderate
Liotrix,Perindopril,No Interaction
Folic acid,Acebutolol,Unknown
Diatrizoate,Lutetium Lu 177 dotatate,Major
Palbociclib,Proparacaine (ophthalmic),No Interaction
Phenytoin,Diazoxide,Moderate
Calcifediol,Dimercaprol,No Interaction
Potassium chloride,Prednisolone,Unknown
Phenyl salicylate,Sulfadiazine,No Interaction
Edrophonium,Alectinib,Moderate
Dimethyl fumarate,Zinc acetate,No Interaction
Deferasirox,Deflazacort,Major
Hydromorphone,Sevelamer,Unknown
Epirubicin,Strontium chloride Sr-89,Moderate
Allopurinol,Ibrutinib,No Interaction
Tositumomab,Defibrotide,Major
Amitriptyline,Prednisolone,Unknown
Capreomycin,Chloroprocaine,No Interaction
Prednisolone,Oxymetholone,Moderate
Indinavir,Sodium zirconium cyclosilicate,Moderate
Cimetidine,Hyoscyamine,No Interaction
Folic acid,Dihydroergotamine,Unknown
Clozapine,Physostigmine,Moderate
Vitamin A,Isotretinoin,Major
Ciclesonide (nasal),Cobicistat,Moderate
Ascorbic acid,Attapulgite,No Interaction
Alfuzosin,Pyrazinamide,No Interaction
Glycopyrronium,Minocycline,No Interaction
Gadodiamide,Ondansetron,Unknown
Methdilazine,Amyl Nitrite,Moderate
Leucovorin,Quetiapine,Unknown
Gadodiamide,Ciprofloxacin,Unknown
Promethazine,Brexanolone,Moderate
Ibritumomab tiuxetan,Tofacitinib,Major
Tolbutamide,Enzalutamide,Moderate
Raloxifene,Promethazine,Unknown
Fluphenazine,Prednisolone,Moderate
Pegaspargase,Ethanol,Moderate
Mycophenolic acid,Tetraferric tricitrate decahydrate,Minor
Gefitinib,Samarium (153Sm) lexidronam,No Interaction
Insulin human (isophane),Ethanol,Moderate
Prednisolone,Pipecuronium,Moderate
Gallium nitrate,Secretin human,No Interaction
Ketoprofen,Potassium Iodide,Moderate
Hydroflumethiazide,Ledipasvir,No Interaction
Nifedipine,Iodipamide,Moderate
Ranitidine,Promethazine,Unknown
Palbociclib,St. John's Wort,No Interaction
Ledipasvir,Magnesium carbonate,Moderate
Oxaprozin,Ioxilan,Major
Morphine,Naloxone,Moderate
Alteplase,Tositumomab,Major
Benzatropine,Dacomitinib,No Interaction
Etodolac,Iohexol,Major
Clozapine,Durvalumab,No Interaction
Cefotetan,Sodium citrate,No Interaction
Carbinoxamine,Tolvaptan,No Interaction
Glasdegib,Teprotumumab,No Interaction
Duloxetine,Posaconazole,No Interaction
Prochlorperazine,Deferoxamine,Moderate
Garlic,Verapamil,No Interaction
Tolbutamide,Tagraxofusp,Moderate
Diclofenamide,Gadoversetamide,No Interaction
Perphenazine,Ioflupane I-123,Moderate
Deferasirox,Ospemifene,Moderate
Beclomethasone dipropionate,Melphalan,No Interaction
Cabozantinib,Norepinephrine,No Interaction
Benazepril,Promethazine,Moderate
Alprostadil,Timolol (ophthalmic),No Interaction
Cefaclor,Levmetamfetamine (nasal),No Interaction
Pentazocine,Diazoxide,Moderate
Levonorgestrel,Cobicistat,Moderate
Axitinib,Samarium (153Sm) lexidronam,No Interaction
Certolizumab pegol,Dicyclomine,No Interaction
Afatinib,Phenindamine,No Interaction
Benzhydrocodone,Halofantrine,No Interaction
Ospemifene,Semaglutide,No Interaction
Cefmetazole,Cholecalciferol,No Interaction
Penbutolol,Ioxilan,Moderate
Belladonna,Carbamazepine,No Interaction
Methdilazine,Iohexol,Major
Daclatasvir,Folic acid,No Interaction
Tolbutamide,Lactic acid,Minor
Cytarabine,Propafenone,No Interaction
Bisoprolol,Gadoxetic acid,Moderate
Tenecteplase,Tetracaine,No Interaction
Atropine (ophthalmic),Oxytetracycline,No Interaction
Bromfenac (ophthalmic),Tisagenlecleucel,No Interaction
Naratriptan,Promethazine,Unknown
Tasimelteon,Vilazodone,No Interaction
Decitabine,Valsartan,No Interaction
Amikacin,Iodipamide,Major
Acyclovir,Naloxone,Unknown
Olanzapine,Promethazine,Moderate
Brimonidine (topical),Famotidine,No Interaction
Iobenguane (I-131),Candida albicans,Moderate
Aminolevulinic acid (topical),Sermorelin,No Interaction
Interferon alfacon-1,Isatuximab,No Interaction
Cyclophosphamide,Leucovorin,Unknown
Naltrexone,Norepinephrine,No Interaction
Paroxetine,Galactose,Unknown
Olopatadine (nasal),Amyl Nitrite,Moderate
Fomepizole,Phenylbutazone,No Interaction
Ceftriaxone,Propylhexedrine (nasal),No Interaction
Tolbutamide,Liraglutide,Moderate
Midazolam,Tolazoline,No Interaction
Clozapine,Iobenguane (I-131),Major
Amcinonide,Tolbutamide,Minor
Folic acid,Rosiglitazone,Unknown
Dicoumarol,Lanthanum carbonate,Moderate
Norepinephrine,Succinylcholine,No Interaction
Nintedanib,Tenecteplase,No Interaction
Tolbutamide,Guanethidine,Moderate
Prednisolone,Norfloxacin,Major
Phenacemide,"Sodium phosphate, monobasic (p32)",No Interaction
Prednisolone,Cefadroxil,Unknown
Enoxacin,Lurasidone,No Interaction
Acetylcysteine,Mepenzolate,No Interaction
Homatropine,Nicardipine,No Interaction
Ziprasidone,Physostigmine (ophthalmic),Moderate
Nalmefene,Pegfilgrastim,No Interaction
Pimozide,Ioflupane I-123,Moderate
Trazodone,Diazoxide,Moderate
Tositumomab,Ticagrelor,Moderate
Iopanoic acid,Ioxilan,Moderate
Prednisolone,Aripiprazole,Unknown
Fludarabine,Tinidazole,No Interaction
Prednisolone,Choline salicylate,Moderate
Carvedilol,Gadobutrol,Moderate
Levacetylmethadol,Iohexol,Major
Deferasirox,Fosaprepitant,Moderate
Tositumomab (I-131),Siponimod,Major
Acetazolamide,Prednisolone,Moderate
Apomorphine,Ioflupane I-123,Moderate
Methylphenobarbital,Macimorelin,Moderate
Sertraline,Ioflupane I-123,Moderate
Diatrizoate,Deferasirox,Major
Diethylstilbestrol,Lidocaine (ophthalmic),No Interaction
Prednisolone,Flecainide,Unknown
Chamomile,Pemoline,No Interaction
Diflunisal,Deferasirox,Major
Ganirelix,Golimumab,No Interaction
Prednisolone,Yellow Fever Vaccine,Major
Strontium chloride Sr-89,Calcium citrate,Moderate
Cefoperazone,Naxitamab,No Interaction
Salbutamol,Promethazine,Moderate
Cinoxacin,Tetraferric tricitrate decahydrate,Moderate
Nebivolol,Cobicistat,Moderate
Bromocriptine,Imiquimod,No Interaction
Berotralstat,Isosorbide mononitrate,No Interaction
Propiomazine,Ioflupane I-123,Moderate
Carbenicillin,Methsuximide,No Interaction
Carfilzomib,Cefditoren,No Interaction
Pilocarpine (ophthalmic),Tafamidis,No Interaction
Methoxamine,Rifabutin,No Interaction
Pamidronic acid,"Thyroid, porcine",No Interaction
Desvenlafaxine,Gatifloxacin,No Interaction
Aminophylline,Doxazosin,No Interaction
Etonogestrel,Tesamorelin,No Interaction
Doxepin (topical),Flumazenil,Major
Ibritumomab tiuxetan,Azathioprine,Moderate
Asparaginase Erwinia chrysanthemi,Rofecoxib,No Interaction
Pipecuronium,Sibutramine,No Interaction
Acetaminophen,Tolbutamide,Unknown
Insulin human (regular),Melatonin,No Interaction
Delafloxacin,Triamterene,No Interaction
Beclomethasone dipropionate,Tolevamer,Moderate
Estrone sulfate (topical),Trastuzumab emtansine,No Interaction
Warfarin,Iohexol,Unknown
Ranolazine,Nitrous acid,Moderate
Amikacin (liposome),Pirbuterol,No Interaction
Avapritinib,Methylergometrine,No Interaction
Simvastatin,Ioversol,Unknown
Sermorelin,Insulin lispro,Moderate
Oxybutynin,Acetylcysteine,Unknown
Azithromycin,Mannitol,Unknown
Tetryzoline (ophthalmic),Methylene blue,Moderate
Cromoglicic acid,Nevirapine,No Interaction
Indomethacin,Iohexol,Major
Clonidine,Acetylcysteine,Unknown
Ascorbic acid,Gadoxetic acid,No Interaction
Arformoterol,Macimorelin,Major
Folic acid,Latanoprost,Unknown
Selegiline,Iobenguane (I-131),Major
Insulin human,Lindane,No Interaction
Acetaminophen,Gadoversetamide,Unknown
Dihydrotachysterol,Ospemifene,No Interaction
Macimorelin,Oliceridine,Major
Zileuton,Deferasirox,Moderate
Doxazosin,Prednisolone,Moderate
Bupivacaine,Pemoline,No Interaction
Lamotrigine,Reteplase,No Interaction
Diatrizoate,Bacitracin,Major
Buspirone,Methylene blue,Major
Cilostazol,Fenofibrate,No Interaction
Diatrizoate,Tolmetin,Major
Mirabegron,Samarium (153Sm) lexidronam,No Interaction
Fenoprofen,Ioversol,Major
Tositumomab (I-131),Desvenlafaxine,Moderate
Nepafenac (ophthalmic),Pasireotide,No Interaction
Gatifloxacin,Triamcinolone (topical),No Interaction
Lurasidone,Upadacitinib,No Interaction
Strontium chloride Sr-89,Venetoclax,Moderate
Demeclocycline,Inulin,No Interaction
Deferiprone,Dinutuximab,Major
Nitrazepam,Zinc gluconate,No Interaction
Afatinib,Clonidine,No Interaction
Ethanol,Clomipramine,Moderate
Efavirenz,Leucovorin,Unknown
Gilteritinib,Radium Ra 223 dichloride,No Interaction
Oxaprozin,Oxitriptan,No Interaction
Morphine (liposomal),Iopamidol,Major
Chlorpromazine,Tolevamer,Moderate
Prednisolone,Dapagliflozin,Moderate
Thiethylperazine,Magnesium carbonate,Minor
Cinoxacin,Iopamidol,Major
Tocilizumab,Deferiprone,Major
Indapamide,Diazoxide,Moderate
Folic acid,Cholestyramine,Moderate
Drospirenone,Epinephrine (ophthalmic),No Interaction
Palifermin,Mitomycin,Moderate
Zolpidem,Prednisolone,Unknown
Lyme disease vaccine (recombinant OspA),Sarecycline,No Interaction
Folic acid,Tocilizumab,No Interaction
Amikacin,Nateglinide,No Interaction
Fosaprepitant,Selinexor,No Interaction
Iloperidone,Methyltestosterone,No Interaction
Azacitidine,Human botulinum neurotoxin A/B immune globulin,No Interaction
Tuberculin purified protein derivative,Zinc sulfate,No Interaction
Epinephrine (ophthalmic),Opicapone,No Interaction
Acetaminophen,Mannitol,Unknown
Brimonidine (ophthalmic),Insulin human (zinc extended),No Interaction
Mannitol,Zaleplon,Unknown
Temozolomide,Acetylcysteine,Unknown
Boceprevir,Rotavirus vaccine,No Interaction
Temozolomide,Deferiprone,Major
Neratinib,Phenacemide,No Interaction
Everolimus,Cobicistat,Major
Nabilone,Amyl Nitrite,Moderate
Iobenguane (I-131),"Smallpox (Vaccinia) Vaccine, Live",Major
Iron protein succinylate,Tapentadol,No Interaction
Apomorphine,Flunisolide,No Interaction
Everolimus,Thiethylperazine,No Interaction
Chlormezanone,Imipenem,No Interaction
Piroxicam,Urokinase,No Interaction
